a,cx,cz,cy,b,theta,R3,R4,E,E_t1,E_t2,E_i01,E_i02,E_ip1,E_ip2,E_ip3,E_ip4,E_it1,E_it2,E_it3,E_it4,machine_type,status,file_name
7.3,-2.1,18.0,0.6,5.9,25.5,2.2,2.1,-4.276919907075353,,,-1.647904011188075,-1.7709587218705565,-0.0137424690183252,-0.7399786175228655,-0.0568398558534681,-0.9042356349527836,-0.1060554650612175,-1.0366025944240391,-0.4113704555202275,-0.1560617368668317,1,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=2.2_R4=2.1_cx=-2.1_cy=0.6_cz=18.0.log
7.3,-0.1,18.4,-1.9,5.9,25.5,0.0,0.0,-3.1307948551839218,,,-1.0342933575157076,-0.8326241937465966,-0.5995293292216957,-0.0654430179856717,-0.610573505051434,-0.0623995945788919,-0.6217557333875448,-0.1814131409628316,-0.1717055613407865,-0.55348892044276,1,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=0.0_R4=0.0_cx=-0.1_cy=-1.9_cz=18.4.log
7.3,-2.0,17.9,0.1,5.9,25.5,0.0,0.0,-4.614087305148132,,,-1.7906688111834228,-1.8148279460147023,-0.1266189678572118,-0.2414658479392528,-0.2185491826385259,-0.1478915568441152,-1.0349145923973992,-1.039520515827462,-0.188309476012364,-0.1813315646722912,1,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=0.0_R4=0.0_cx=-2.0_cy=0.1_cz=17.9.log
7.3,1.5,18.2,-1.0,5.9,25.5,2.2,2.1,-5.0443897373043,,,-0.8635102359112352,-1.574861847097054,-0.0818084785714745,-0.2630208164919168,-0.0315700282808393,-0.3200803007930517,-0.0758157580858096,-0.1537022994598373,-1.9474521845113488,-1.2999936416745186,2,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=2.2_R4=2.1_cx=1.5_cy=-1.0_cz=18.2.log
7.3,0.2,18.4,1.3,5.9,25.5,2.2,2.1,-5.6793294557137415,,,-0.9979291530326008,-0.7648217380046844,-0.025709084700793,-1.8532817589584736,-0.0220758018549531,-1.879003393929452,-0.0557354382472112,-0.439150323276408,-2.151060354313813,-0.2619728746358305,2,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=2.2_R4=2.1_cx=0.2_cy=1.3_cz=18.4.log
7.3,-2.0,17.8,0.4,5.9,25.5,2.2,2.1,-4.413221354363486,,,-1.581162047572434,-1.867865091189742,-0.0195406612474471,-0.7381337380502373,-0.0675702767912298,-0.9280119889881462,-0.1379392482340335,-1.0334462189348417,-0.4556224608095363,-0.1850715244654566,1,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=2.2_R4=2.1_cx=-2.0_cy=0.4_cz=17.8.log
7.3,0.0,18.2,-2.1,5.9,25.5,0.0,0.0,-3.1162177977385,,,-0.5003011727239937,-0.5002948977053165,-0.7849334336351603,-0.0641691726632416,-0.7849334336351603,-0.0641691726632416,-0.7029680775012821,-0.1804405006114393,-0.1804405006114393,-0.7029680775012821,1,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=0.0_R4=0.0_cx=0.0_cy=-2.1_cz=18.2.log
7.3,1.5,18.3,-1.0,5.9,25.5,2.2,2.1,-4.981268506264314,,,-1.047326740110293,-1.5065950341522694,-0.0762110892683267,-0.2472828656900674,-0.0283634518273174,-0.30788778164424,-0.0717181179206818,-0.146730663254857,-1.9500187005614864,-1.205967543181032,2,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=2.2_R4=2.1_cx=1.5_cy=-1.0_cz=18.3.log
7.3,-1.9,17.7,-0.1,5.9,25.5,0.0,0.0,-4.430509254569188,,,-1.396291326265782,-1.2710905310232192,-0.1828062131535262,-0.2455697634723037,-0.2726405449211597,-0.1549824199173599,-1.1089607723988593,-1.1374811019049955,-0.2069841735064983,-0.2153928073821589,1,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=0.0_R4=0.0_cx=-1.9_cy=-0.1_cz=17.7.log
7.3,0.2,18.5,1.3,5.9,25.5,2.2,2.1,-5.646661284845322,,,-1.087029297836125,-0.9365147491917014,-0.0241277595050632,-1.7979542021639645,-0.0206325286999344,-1.807147223502397,-0.0524096351582556,-0.4075551946880296,-2.1044426364824176,-0.2455509380670264,2,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=2.2_R4=2.1_cx=0.2_cy=1.3_cz=18.5.log
