a,b,theta,R3,R4,cx,cz,cy,E,E_i01,E_i02,E_ip1,E_ip2,E_ip3,E_ip4,E_it1,E_it2,E_it3,E_it4,machine_type,status,file_name
7.3,5.9,25.5,-0.1,2.1,2,18,0.5,-4.379608781,-1.787242607,-1.662230064,-0.058578059,-0.906024038,-0.01538027,-0.728921891,-0.166949035,-0.4345193,-1.088786326,-0.110165655,1,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=-0.1_R4=2.1_cx=2.0_cy=0.5_cz=18.0.log
7.3,5.9,25.5,-0.1,2.1,-1.4,18.2,-1,-4.961884722,-1.525068928,-0.730879722,-0.033069777,-0.325834567,-0.081111943,-0.272960575,-1.266365381,-1.973299321,-0.159870723,-0.077886541,2,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=-0.1_R4=2.1_cx=-1.4_cy=-1.0_cz=18.2.log
7.3,5.9,25.5,-0.1,2.1,-0.2,18.6,1.5,-5.53212816,-1.001863641,-1.133854094,-0.018047187,-1.820381409,-0.021216113,-1.667802353,-0.210504505,-2.05225263,-0.391183459,-0.046605168,2,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=-0.1_R4=2.1_cx=-0.2_cy=1.5_cz=18.6.log
7.3,5.9,25.5,-0.1,2.1,2,17.8,0.6,-4.351088451,-1.913685871,-1.33563621,-0.06304593,-0.912926649,-0.017702057,-0.831356623,-0.177095872,-0.469973614,-1.039445215,-0.12739708,1,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=-0.1_R4=2.1_cx=2.0_cy=0.6_cz=17.8.log
7.3,5.9,25.5,-0.1,2.1,-1.4,18.3,-1,-4.910661081,-1.48562365,-0.970990149,-0.029737699,-0.313177691,-0.075470628,-0.256751992,-1.170525778,-1.948161271,-0.15249748,-0.073600648,2,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=-0.1_R4=2.1_cx=-1.4_cy=-1.0_cz=18.3.log
7.3,5.9,25.5,-0.1,2.1,-0.1,18.4,1.3,-5.626273486,-0.81667289,-0.935109127,-0.022998242,-1.886966496,-0.02481802,-1.875081456,-0.252867705,-2.072213723,-0.46407502,-0.056293922,2,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=-0.1_R4=2.1_cx=-0.1_cy=1.3_cz=18.4.log
7.3,5.9,25.5,-0.1,2.1,2,17.9,0.6,-4.438089575,-1.86493462,-1.520688909,-0.059776603,-0.928746175,-0.016108182,-0.802152308,-0.170092861,-0.455478133,-1.100125431,-0.116189752,1,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=-0.1_R4=2.1_cx=2.0_cy=0.6_cz=17.9.log
7.3,5.9,25.5,-0.1,2.1,-1.4,18.4,-1,-4.762151427,-1.414332239,-1.081576236,-0.026782127,-0.30089732,-0.070224644,-0.241647826,-1.076788335,-1.902691896,-0.145387792,-0.069553208,2,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=-0.1_R4=2.1_cx=-1.4_cy=-1.0_cz=18.4.log
7.3,5.9,25.5,-0.1,2.1,-0.1,18.5,1.3,-5.580512319,-0.971190952,-1.047653045,-0.021517318,-1.816955205,-0.023268071,-1.812907765,-0.237330557,-2.013880393,-0.429656097,-0.052899093,2,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=-0.1_R4=2.1_cx=-0.1_cy=1.3_cz=18.5.log
7.3,5.9,25.5,-0.1,2.1,2,18,0.6,-4.401992063,-1.785956211,-1.593618121,-0.056676703,-0.929574489,-0.014633533,-0.773550402,-0.163303202,-0.441290132,-1.114395009,-0.105998989,1,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=-0.1_R4=2.1_cx=2.0_cy=0.6_cz=18.0.log
7.3,5.9,25.5,-0.1,2.1,-1.4,18.2,-0.9,-5.020186677,-1.475068932,-0.84118343,-0.031733181,-0.346096865,-0.078664653,-0.298625734,-1.236326477,-2.006808356,-0.164351144,-0.077014302,2,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=-0.1_R4=2.1_cx=-1.4_cy=-0.9_cz=18.2.log
7.3,5.9,25.5,-0.1,2.1,-0.1,18.6,1.3,-5.432266219,-1.027679402,-1.076148275,-0.020117971,-1.740806867,-0.021805972,-1.740223282,-0.222703299,-1.948669554,-0.397797414,-0.049705067,2,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=-0.1_R4=2.1_cx=-0.1_cy=1.3_cz=18.6.log
7.3,5.9,25.5,-0.1,2.1,-1.4,18.3,-0.9,-4.983687557,-1.458684646,-1.055038838,-0.028601906,-0.332574025,-0.073261793,-0.280396568,-1.141679144,-1.998205193,-0.156739448,-0.072784885,2,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=-0.1_R4=2.1_cx=-1.4_cy=-0.9_cz=18.3.log
7.3,5.9,25.5,-0.1,2.1,2.1,17.8,0.4,-4.318398318,-1.947414534,-1.752051846,-0.067601652,-0.89860687,-0.018486444,-0.707429674,-0.176324035,-0.42483682,-0.882969321,-0.138472632,1,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=-0.1_R4=2.1_cx=2.1_cy=0.4_cz=17.8.log
7.3,5.9,25.5,-0.1,2.1,-0.1,18.4,1.4,-5.702669691,-0.873657073,-1.009927144,-0.022238954,-1.915888432,-0.023995982,-1.86147704,-0.241854904,-2.079430088,-0.473098614,-0.054693772,2,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=-0.1_R4=2.1_cx=-0.1_cy=1.4_cz=18.4.log
7.3,5.9,25.5,-0.1,2.1,-1.4,18.4,-0.9,-4.846429158,-1.404078725,-1.146874927,-0.025834587,-0.319433965,-0.068210337,-0.263177694,-1.049792855,-1.964633408,-0.149410131,-0.068787646,2,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=-0.1_R4=2.1_cx=-1.4_cy=-0.9_cz=18.4.log
7.3,5.9,25.5,-0.1,2.1,2.1,17.9,0.4,-4.319323895,-1.880245863,-1.782630408,-0.064062496,-0.866817213,-0.016798443,-0.683201513,-0.169459075,-0.411972865,-0.965185681,-0.125828305,1,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=-0.1_R4=2.1_cx=2.1_cy=0.4_cz=17.9.log
7.3,5.9,25.5,-0.1,2.1,-0.1,18.5,1.4,-5.653949814,-1.003626944,-1.093216547,-0.020814507,-1.859694911,-0.022508783,-1.821617604,-0.227164895,-2.026863575,-0.437769801,-0.051411894,2,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=-0.1_R4=2.1_cx=-0.1_cy=1.4_cz=18.5.log
7.3,5.9,25.5,-0.1,2.1,-1.4,18.2,-0.8,0,0,0,0,0,0,0,0,0,0,0,2,InProgress,hexacene_a=7.3_b=5.9_theta=25.5_R3=-0.1_R4=2.1_cx=-1.4_cy=-0.8_cz=18.2.log
