cx,cy,cz,A2,a,b,theta,R3,R4,E,E_i01,E_i02,E_ip1,E_ip2,E_ip3,E_ip4,E_it1,E_it2,E_it3,E_it4
1.6,-0.9,13,-1,7.4,5.8,25.5,2.1,1.9,-4.848378831,-0.432535113,-1.772448431,-0.113718617,-0.359756503,-0.055859685,-0.338965842,-0.08860253,-0.161919543,-1.541923847,-1.519290816
1.5,-0.8,13,-1,7.4,5.8,25.5,2.1,1.9,-4.811443593,-0.127310484,-1.540582231,-0.109662393,-0.411494703,-0.055224645,-0.367358159,-0.090459959,-0.173481415,-1.683162543,-1.558523369
1.4,-0.9,13,-1,7.4,5.8,25.5,2.1,1.9,-4.781199493,0.448219098,-1.48593866,-0.113485183,-0.38687623,-0.060292416,-0.35297814,-0.094509909,-0.17647652,-1.948310618,-1.586226681
1.4,-0.8,13,-1,7.4,5.8,25.5,2.1,1.9,-4.708084538,0.369113932,-1.326602576,-0.109441509,-0.426172161,-0.057454816,-0.375099123,-0.093392313,-0.181208573,-1.906984065,-1.563671461
1.6,-0.8,13,-1,7.4,5.8,25.5,2.1,1.9,-4.698183685,-0.552925416,-1.697639199,-0.109727654,-0.396443248,-0.053126252,-0.359454043,-0.087597259,-0.166052324,-1.344870647,-1.515005551
1.5,-0.7,13,-1,7.4,5.8,25.5,2.1,1.9,-4.626778067,-0.201216102,-1.41035759,-0.10576179,-0.452958053,-0.052585338,-0.39027357,-0.089366837,-0.177896575,-1.518496389,-1.534442045
1.4,-0.7,13,-1,7.4,5.8,25.5,2.1,1.9,-4.563402695,0.322715843,-1.147568953,-0.105515806,-0.469116436,-0.054755268,-0.39906875,-0.092237067,-0.185990827,-1.824905129,-1.533614987
1.6,-0.7,13,-1,7.4,5.8,25.5,2.1,1.9,-4.439366244,-0.642451013,-1.608557879,-0.105859682,-0.436409359,-0.050544048,-0.381315237,-0.086559984,-0.17018385,-1.070697095,-1.499356706
1.6,-0.8,13.3,-1,7.4,5.8,25.5,2.1,1.9,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
1.5,-0.9,13.2,-1.5,7.4,5.8,25.5,2.1,1.9,-5.435157784,-1.068502693,-1.705895975,-0.09757404,-0.34642066,-0.047940509,-0.309234418,-0.082137294,-0.154268313,-1.960596636,-1.450371393
1.6,-1,13.2,-1.5,7.4,5.8,25.5,2.1,1.9,-5.409323198,-1.205676379,-1.716248635,-0.101149592,-0.30372488,-0.048526603,-0.286509771,-0.080506395,-0.144268942,-1.881308238,-1.472321693
1.5,-1,13.2,-1.5,7.4,5.8,25.5,2.1,1.9,-5.409205854,-1.024583268,-1.721784528,-0.100938749,-0.315616195,-0.050307477,-0.291788385,-0.08301518,-0.150313745,-1.951977787,-1.471389841
1.6,-0.9,13.2,-1.5,7.4,5.8,25.5,2.1,1.9,-5.407463258,-1.2584575,-1.716400492,-0.097831319,-0.333413633,-0.046196031,-0.30338728,-0.079663649,-0.147959955,-1.845443532,-1.456552994
1.5,-0.8,13.2,-1.5,7.4,5.8,25.5,2.1,1.9,-5.405560021,-1.09220751,-1.67639171,-0.094326048,-0.381433209,-0.045736694,-0.327837579,-0.081216109,-0.158237314,-1.935540162,-1.42160006
1.5,-0.9,13.3,-1.5,7.4,5.8,25.5,2.1,1.9,-5.390999278,-1.248810161,-1.626714253,-0.091229914,-0.324351134,-0.043224144,-0.297236427,-0.07783383,-0.147345623,-1.986627634,-1.363409175
1.5,-0.8,13.3,-1.5,7.4,5.8,25.5,2.1,1.9,-5.389215267,-1.261772008,-1.616472035,-0.088294422,-0.35642066,-0.041378009,-0.315008765,-0.076973514,-0.15110629,-1.989002759,-1.332459754
1.6,-0.9,13.3,-1.5,7.4,5.8,25.5,2.1,1.9,-5.381672598,-1.367561408,-1.618262949,-0.091580064,-0.312064488,-0.041651604,-0.29179215,-0.075562872,-0.141443264,-1.918481303,-1.384728827
1.6,-1,13.3,-1.5,7.4,5.8,25.5,2.1,1.9,-5.363742127,-1.330750417,-1.608091012,-0.094582072,-0.284801689,-0.043637045,-0.275647573,-0.076352907,-0.137945523,-1.922729546,-1.407959247
1.4,-0.9,13.2,-1.5,7.4,5.8,25.5,2.1,1.9,-5.350392479,-0.835742919,-1.670567162,-0.097198789,-0.359198019,-0.049815509,-0.314829297,-0.084647961,-0.16080885,-2.016539781,-1.424720039
1.5,-1,13.3,-1.5,7.4,5.8,25.5,2.1,1.9,-5.348655845,-1.219635966,-1.626887446,-0.094258905,-0.296035373,-0.045240961,-0.280518305,-0.078660889,-0.143601898,-1.955781125,-1.389323455
1.4,-0.8,13.2,-1.5,7.4,5.8,25.5,2.1,1.9,-5.342799608,-0.845848339,-1.617794826,-0.093919422,-0.395385266,-0.047561493,-0.334046163,-0.083687244,-0.165039523,-2.033102907,-1.39369218
1.6,-0.8,13.3,-1.5,7.4,5.8,25.5,2.1,1.9,-5.342030908,-1.388138716,-1.62085833,-0.088644573,-0.342973121,-0.039836845,-0.308967099,-0.074743971,-0.144955437,-1.872624755,-1.354997403
1.5,-0.7,13.3,-1.5,7.4,5.8,25.5,2.1,1.9,-5.339419212,-1.262781044,-1.596180872,-0.085425446,-0.392582806,-0.039644827,-0.333990942,-0.07607492,-0.154869468,-1.954595131,-1.298576724
