cx,cy,cz,A2,a,b,theta,R3,R4,E,E_t1,E_t2,E_i01,E_i02,E_ip1,E_ip2,E_ip3,E_ip4,E_it1,E_it2,E_it3,E_it4,machine_type,status,file_name
1.4,-0.8,13.0,-1.0,7.4,5.8,25.5,2.1,1.9,-4.708084537880495,,,0.3691139321308583,-1.3266025757184252,-0.1094415090046823,-0.4261721614748239,-0.0574548156000673,-0.3750991225242615,-0.0933923132251948,-0.1812085726996883,-1.9069840647280216,-1.5636714611318894,2,Done,tetracene_a=7.4_b=5.8_theta=25.5_R3=2.1_R4=1.9_A2=-1.0_cx=1.4_cy=-0.8_cz=13.0.log
1.4,-0.8,13.1,-0.5,7.4,5.8,25.5,2.1,1.9,-4.986752316006459,,,-0.2295983788790181,-1.3474810883635655,-0.1038491398794576,-0.3775137811899185,-0.0510353881400078,-0.3740486709866673,-0.0884362392243929,-0.1732222529244609,-2.0039908355101943,-1.4793397646280937,2,Done,tetracene_a=7.4_b=5.8_theta=25.5_R3=2.1_R4=1.9_A2=-0.5_cx=1.4_cy=-0.8_cz=13.1.log
1.4,-0.8,13.1,-1.5,7.4,5.8,25.5,2.1,1.9,-5.1967021022574045,,,-0.4118624236434698,-1.59314372332301,-0.1004781562369316,-0.4225062479963526,-0.0527334304060786,-0.3477208613185212,-0.0883778808638453,-0.1728601797367446,-1.9863013287540523,-1.48494029144058,2,Done,tetracene_a=7.4_b=5.8_theta=25.5_R3=2.1_R4=1.9_A2=-1.5_cx=1.4_cy=-0.8_cz=13.1.log
1.4,-0.8,13.1,-2.0,7.4,5.7,25.5,2.1,1.9,-5.299701593758073,,,-0.4478714573197067,-1.6912649520672858,-0.1023330758325755,-0.4924321974394843,-0.0563428679015487,-0.3562324069207534,-0.0888133729458786,-0.1748073431663215,-1.9613214106066152,-1.50152098829858,1,Done,tetracene_a=7.4_b=5.7_theta=25.5_R3=2.1_R4=1.9_A2=-2.0_cx=1.4_cy=-0.8_cz=13.1.log
1.4,-0.8,13.1,-2.5,7.5,5.7,25.5,2.1,1.9,-5.391224554390647,,,-0.4638516269624233,-1.7683394951745868,-0.1005409071221947,-0.521789625287056,-0.0574121448444202,-0.3439181507565081,-0.0873380967532284,-0.1707561386283487,-2.016687873052433,-1.4885164708830416,1,Done,tetracene_a=7.5_b=5.7_theta=25.5_R3=2.1_R4=1.9_A2=-2.5_cx=1.4_cy=-0.8_cz=13.1.log
0.2,1.4,13.4,0.0,7.4,5.8,25.5,2.1,1.9,-5.423973674245644,,,-0.9442469276254996,-0.5558834985131398,-0.0321222370257601,-1.6851919102482498,-0.0282191246515139,-1.8713891874067483,-0.0618567981873638,-0.4349773818976246,-2.0850281046004966,-0.2835849468247033,1,Done,tetracene_a=7.4_b=5.8_theta=25.5_R3=2.1_R4=1.9_A2=0.0_cx=0.2_cy=1.4_cz=13.4.log
1.4,-0.8,13.1,-1.0,7.4,5.8,25.5,2.1,1.9,-5.105904543073848,,,-0.34269827126991,-1.4771773654501883,-0.1021824734052643,-0.3992457073181867,-0.0518536613089963,-0.3604317038552835,-0.0884236891870386,-0.1730628655641339,-1.9951944004860709,-1.4824289965326898,2,Done,tetracene_a=7.4_b=5.8_theta=25.5_R3=2.1_R4=1.9_A2=-1.0_cx=1.4_cy=-0.8_cz=13.1.log
1.4,-0.8,13.2,-0.5,7.4,5.8,25.5,2.1,1.9,-5.20048661500914,,,-0.7315473930211738,-1.452862607780844,-0.0968611886491999,-0.3537336620502174,-0.0462713323067873,-0.359169153845869,-0.0837054414441809,-0.1653463749680668,-2.042740205535665,-1.3884719242341816,2,Done,tetracene_a=7.4_b=5.8_theta=25.5_R3=2.1_R4=1.9_A2=-0.5_cx=1.4_cy=-0.8_cz=13.2.log
1.4,-0.8,13.2,-1.5,7.4,5.8,25.5,2.1,1.9,-5.342799607955385,,,-0.8458483394933864,-1.6177948261611164,-0.0939194217789918,-0.3953852658160031,-0.0475614928873255,-0.3340461633633822,-0.0836872436921112,-0.1650395225151442,-2.033102907065768,-1.393692179932259,2,Done,tetracene_a=7.4_b=5.8_theta=25.5_R3=2.1_R4=1.9_A2=-1.5_cx=1.4_cy=-0.8_cz=13.2.log
1.4,-0.8,13.2,-2.0,7.4,5.7,25.5,2.1,1.9,-5.433647054363973,,,-0.8602170634549111,-1.6799496916355563,-0.095645074150525,-0.4610956031829119,-0.0506915128789842,-0.3421291196718812,-0.0841126954182982,-0.1669013447826728,-2.026411767816171,-1.4113572138594463,1,Done,tetracene_a=7.4_b=5.7_theta=25.5_R3=2.1_R4=1.9_A2=-2.0_cx=1.4_cy=-0.8_cz=13.2.log
1.4,-0.8,13.2,-2.5,7.5,5.7,25.5,2.1,1.9,-5.473891780915437,,,-0.8609901558374986,-1.725088995997794,-0.0940869668847881,-0.488450018921867,-0.0516265027690678,-0.3303313042270019,-0.0827748440788127,-0.1631061644293368,-2.058619973657187,-1.394103826431092,1,Done,tetracene_a=7.5_b=5.7_theta=25.5_R3=2.1_R4=1.9_A2=-2.5_cx=1.4_cy=-0.8_cz=13.2.log
