cx,cy,cz,a,b,theta,R3,R4,E,E_i01,E_i02,E_ip1,E_ip2,E_ip3,E_ip4,E_it1,E_it2,E_it3,E_it4,machine_type,status,file_name
-0.4,1.4,13.5,7.3,5.9,25.5,-0.2,1.9,-5.506159914,-0.725633111,-1.211326479,-0.023683482,-1.760407769,-0.030907378,-1.65269254,-0.284235047,-2.093515805,-0.369725754,-0.056357928,1,Done,tetracene_a=7.3_b=5.9_theta=25.5_R3=-0.2_R4=1.9_cx=-0.4_cy=1.4_cz=13.5.log
-0.2,1.4,13.4,7.3,5.9,25.5,-0.2,1.9,-5.501333734,-0.555883499,-0.944246928,-0.027216364,-1.857034269,-0.030997739,-1.783151241,-0.28222827,-2.115068263,-0.443421156,-0.061351025,1,Done,tetracene_a=7.3_b=5.9_theta=25.5_R3=1.9_R4=-0.2_cx=-0.2_cy=1.4_cz=13.4.log
-0.4,1.3,13.5,7.3,5.9,25.5,-0.2,1.9,-5.4982125,-0.715796892,-1.136145761,-0.024536896,-1.68140928,-0.031994225,-1.676276248,-0.298380377,-2.145203176,-0.363592472,-0.057956824,1,Done,tetracene_a=7.3_b=5.9_theta=25.5_R3=-0.2_R4=1.9_cx=-0.4_cy=1.3_cz=13.5.log
-0.2,1.5,13.6,7.3,5.9,25.5,-0.2,1.9,-5.490917068,-0.977220068,-1.171079242,-0.02321285,-1.749804105,-0.026596384,-1.625395227,-0.237476767,-2.026024594,-0.387920407,-0.052841362,2,Done,tetracene_a=7.3_b=5.9_theta=25.5_R3=-0.2_R4=1.9_cx=-0.2_cy=1.5_cz=13.6.log
-0.2,1.5,13.4,7.3,5.9,25.5,-0.2,1.9,-5.490438278,-0.594260755,-1.02721379,-0.026263804,-1.871389187,-0.029918422,-1.68519191,-0.269094486,-2.093452426,-0.451218596,-0.059553837,1,Done,tetracene_a=7.3_b=5.9_theta=25.5_R3=-0.2_R4=1.9_cx=-0.2_cy=1.5_cz=13.4.log
-0.2,1.4,13.6,7.3,5.9,25.5,-0.2,1.9,-5.488173595,-0.976607618,-1.146060419,-0.024023593,-1.710075192,-0.027520079,-1.665250897,-0.248733669,-2.028624996,-0.381658485,-0.054387547,2,Done,tetracene_a=7.3_b=5.9_theta=25.5_R3=-0.2_R4=1.9_cx=-0.2_cy=1.4_cz=13.6.log
-0.1,1.5,13.4,7.3,5.9,25.5,-0.2,1.9,-5.486410919,-0.702610397,-0.921984128,-0.027200048,-1.844401237,-0.029032378,-1.750529506,-0.259586454,-2.051229788,-0.477479889,-0.06023594,1,Done,tetracene_a=7.3_b=5.9_theta=25.5_R3=-0.2_R4=1.9_cx=-0.1_cy=1.5_cz=13.4.log
-0.3,1.5,13.6,7.3,5.9,25.5,-0.2,1.9,-5.485493499,-0.925756718,-1.209130194,-0.022339356,-1.754305862,-0.027407127,-1.573418574,-0.245423553,-2.063334456,-0.368276206,-0.052280368,2,Done,tetracene_a=7.3_b=5.9_theta=25.5_R3=-0.2_R4=1.9_cx=-0.3_cy=1.5_cz=13.6.log
-0.4,1.4,13.6,7.3,5.9,25.5,-0.2,1.9,-5.481549599,-0.897385736,-1.216428135,-0.022207579,-1.682481067,-0.02916039,-1.598615611,-0.266125108,-2.09480973,-0.344326032,-0.053149469,1,Done,tetracene_a=7.3_b=5.9_theta=25.5_R3=-0.2_R4=1.9_cx=-0.4_cy=1.4_cz=13.6.log
-0.3,1.4,13.4,7.3,5.9,25.5,-0.2,1.9,-5.47971978,-0.47191011,-1.040450486,-0.026236193,-1.85022202,-0.031888803,-1.739000893,-0.292693882,-2.127179834,-0.419413251,-0.06057856,1,Done,tetracene_a=7.3_b=5.9_theta=25.5_R3=-0.2_R4=1.9_cx=-0.3_cy=1.4_cz=13.4.log
-0.2,1.3,13.5,7.3,5.9,25.5,-0.2,1.9,-5.475453339,-0.794074999,-1.01811364,-0.026483432,-1.722053103,-0.030240962,-1.720588494,-0.277588461,-2.078472507,-0.404167896,-0.05944716,1,Done,tetracene_a=7.3_b=5.9_theta=25.5_R3=-0.2_R4=1.9_cx=-0.2_cy=1.3_cz=13.5.log
-0.1,1.4,13.4,7.3,5.9,25.5,-0.2,1.9,-5.467777637,-0.647772298,-0.844812948,-0.028189004,-1.854172823,-0.030080319,-1.81729406,-0.271949029,-2.053562243,-0.469017917,-0.062087722,1,Done,tetracene_a=7.3_b=5.9_theta=25.5_R3=-0.2_R4=1.9_cx=-0.1_cy=1.4_cz=13.4.log
-0.4,1.3,13.6,7.3,5.9,25.5,-0.2,1.9,-5.467648997,-0.900196981,-1.17251373,-0.022985691,-1.601448191,-0.030159386,-1.603788803,-0.279147196,-2.129585707,-0.338741193,-0.05462851,1,Done,tetracene_a=7.3_b=5.9_theta=25.5_R3=-0.2_R4=1.9_cx=-0.4_cy=1.3_cz=13.6.log
-0.3,1.3,13.6,7.3,5.9,25.5,-0.2,1.9,-5.459872894,-0.925678906,-1.13675319,-0.023921936,-1.624393721,-0.029323542,-1.62617836,-0.269676815,-2.09526593,-0.356496589,-0.055308731,2,Done,tetracene_a=7.3_b=5.9_theta=25.5_R3=-0.2_R4=1.9_cx=-0.3_cy=1.3_cz=13.6.log
-0.3,1.5,13.4,7.3,5.9,25.5,-0.2,1.9,-5.423228192,-0.490760511,-1.125670109,-0.025309988,-1.884901988,-0.030783131,-1.60925818,-0.278816498,-2.075742212,-0.426497839,-0.05882969,1,Done,tetracene_a=7.3_b=5.9_theta=25.5_R3=-0.2_R4=1.9_cx=-0.3_cy=1.5_cz=13.4.log
-0.3,1.3,13.4,7.3,5.9,25.5,-0.2,1.9,-5.422648373,-0.42418923,-0.923160081,-0.027208833,-1.782747125,-0.033040912,-1.768055861,-0.307058213,-2.161972753,-0.412073894,-0.062342491,1,Done,tetracene_a=7.3_b=5.9_theta=25.5_R3=-0.2_R4=1.9_cx=-0.3_cy=1.3_cz=13.4.log
-0.4,1.5,13.5,7.3,5.9,25.5,-0.2,1.9,-5.414316295,-0.712674402,-1.261439427,-0.022861444,-1.819727544,-0.029864456,-1.53676195,-0.270606785,-2.02166591,-0.375595483,-0.054783506,1,Done,tetracene_a=7.3_b=5.9_theta=25.5_R3=-0.2_R4=1.9_cx=-0.4_cy=1.5_cz=13.5.log
-0.4,1.5,13.6,7.3,5.9,25.5,-0.2,1.9,-5.412463258,-0.876280064,-1.241040332,-0.021460842,-1.747811133,-0.028192769,-1.516502162,-0.253523453,-2.041958328,-0.349657357,-0.051680469,1,Done,tetracene_a=7.3_b=5.9_theta=25.5_R3=-0.2_R4=1.9_cx=-0.4_cy=1.5_cz=13.6.log
-0.2,1.3,13.6,7.3,5.9,25.5,-0.2,1.9,-5.409478193,-0.955545873,-1.099805402,-0.024856926,-1.641340256,-0.028468874,-1.642575196,-0.260370214,-2.021714228,-0.375148068,-0.055949419,2,Done,tetracene_a=7.3_b=5.9_theta=25.5_R3=-0.2_R4=1.9_cx=-0.2_cy=1.3_cz=13.6.log
